U,V
65,13297
65,536
65,975
65,1461
65,2731
65,14545
65,3732
65,15095
65,14973
65,4304
65,4862
65,5928
65,5990
65,16261
65,9022
65,17220
65,9436
65,11270
65,18494
65,12524
65,19125
65,16680
13297,975
13297,9022
13297,17220
13297,536
13297,16680
13297,16261
13297,18196
13297,6578
13297,4495
13297,4588
536,2731
536,975
536,9022
536,2463
536,15095
536,15044
536,4304
536,15332
536,4795
536,4862
536,5928
536,16261
536,8220
536,9436
536,18494
536,16680
975,2731
975,1461
975,2225
975,14545
975,14713
975,3349
975,15095
975,14973
975,15115
975,4304
975,15606
975,5928
975,16261
975,7963
975,9022
975,17220
975,9436
975,18494
975,12524
975,19125
975,16680
1461,9022
1461,17220
1461,12524
1461,4304
1461,18494
1461,10688
1461,14549
2731,1860
2731,14982
2731,4206
2731,4319
2731,4896
2731,5928
2731,16261
2731,17005
2731,9022
2731,18898
2731,9933
14545,9022
14545,16261
14545,9735
14545,623
3732,18305
3732,3798
15095,9022
15095,17220
15095,16261
15095,4862
15095,4304
15095,18494
15095,17410
15095,6141
14973,11270
14973,16680
14973,17761
14973,13706
4304,9022
4304,17220
4304,16680
4304,16261
4304,2225
4304,3798
4304,15175
4304,5928
4304,5990
4304,6979
4304,16526
4304,17163
4304,9436
4304,18494
4304,19125
4862,9022
4862,17220
4862,1887
4862,2225
4862,4871
4862,7898
4862,9735
4862,18494
4862,19125
5928,9022
5928,17220
5928,16680
5928,16261
5928,18494
5928,17695
5990,17220
5990,18494
5990,483
5990,7055
5990,5406
5990,3979
5990,14549
5990,4177
16261,11270
16261,9022
16261,17220
16261,16680
16261,12524
16261,2225
16261,9436
16261,18494
16261,19125
9022,11270
9022,372
9022,1050
9022,13959
9022,2225
9022,14896
9022,3800
9022,15332
9022,16826
9022,9168
9022,17220
9022,9436
9022,18494
9022,12068
9022,12524
9022,12780
9022,19125
9022,16680
17220,483
17220,989
17220,2540
17220,3669
17220,3798
17220,6865
17220,16447
17220,17163
17220,9436
17220,18210
17220,11348
17220,18494
17220,14549
9436,16680
9436,12524
9436,18494
9436,14195
9436,2638
9436,11018
9436,18465
9436,15906
11270,13706
11270,13675
11270,1400
11270,1634
11270,1840
11270,15133
11270,15332
11270,4696
11270,6865
11270,8283
11270,8317
11270,9127
11270,12127
11270,14814
18494,16680
18494,483
18494,1873
18494,2225
18494,3798
18494,6979
18494,17163
18494,10058
18494,18625
18494,19125
12524,2088
12524,15332
19125,9735
1860,17005
1860,3957
1860,14896
1860,1716
1860,7691
1860,6578
1860,13386
1860,18898
1860,13361
14982,13449
14982,14079
14982,14500
14982,3967
14982,19036
14982,9933
4206,13675
4206,8739
4206,3638
4206,9143
4206,4333
4206,11234
4206,4430
4206,15655
4206,18898
4206,5238
4206,61
4319,17005
4319,10182
4319,4818
4319,10409
4319,4909
4319,9551
4319,2667
4319,15568
4319,686
4319,4868
4319,13773
4319,14196
4319,16555
4319,3954
4319,15293
4319,15847
4319,7174
4319,8232
4319,9239
4319,9982
4319,17878
4319,10558
4319,11187
4319,18403
4319,11712
4896,17005
4896,10182
4896,11028
17005,942
17005,4367
17005,18196
17005,18898
18898,2088
18898,5419
18898,4333
18898,4430
18898,15655
18898,290
18898,5238
18898,6979
18898,11028
18898,18344
2225,9735
2225,15908
14713,15606
14713,8486
14713,17696
14713,7435
14713,2400
14713,2736
14713,17825
14713,6404
14713,10558
14713,15304
14713,16555
14713,11280
14713,14114
14713,16408
14713,12157
14713,11029
14713,9425
14713,12427
14713,885
14713,19093
14713,14277
14713,12441
14713,856
14713,709
14713,10351
14713,5897
14713,13242
14713,5373
14713,18997
14713,4389
14713,3866
14713,4242
14713,15270
14713,10568
14713,10704
14713,11633
14713,12937
14713,1125
3349,15606
15115,2545
15115,10648
15115,8776
15115,13079
15115,3242
15115,17172
15115,7756
15115,13922
15115,1627
15115,11811
15115,332
15115,664
15115,13736
15115,14058
15115,2410
15115,3143
15115,14911
15115,16171
15115,13066
15606,7963
15606,15630
15606,9064
13706,16680
13706,2491
13706,8657
13706,2963
13706,8739
13706,2856
13706,15642
13706,18984
13706,6409
13706,931
13706,4696
13706,2088
13706,17761
13706,13100
13706,14073
13706,3776
13706,5298
13706,15820
13706,6865
13706,7756
13706,8776
13706,9735
13706,10037
13706,11139
13706,16060
13706,16069
13675,14814
13675,925
13675,1400
13675,14514
13675,3792
13675,6586
1400,11993
1400,15380
1400,736
1400,11226
1400,12127
1400,4879
1400,4882
1400,13100
1634,7106
1634,16171
1634,8211
1634,11604
1634,12426
1840,11916
1840,6418
1840,11139
1840,4053
1840,8283
1840,1519
1840,13065
1840,589
1840,13651
1840,735
1840,736
1840,13100
1840,4542
1840,6502
1840,7756
1840,8118
1840,17464
1840,15264
1840,15544
1840,13741
15133,4798
15133,8283
15133,6639
15133,168
15133,13651
15133,14911
15133,7756
15133,9849
15332,8948
15332,6875
15332,16994
15332,13100
4696,2491
4696,8657
4696,2963
4696,8739
4696,2856
4696,229
4696,15642
4696,18984
4696,17177
4696,931
4696,623
4696,1009
4696,13100
4696,14073
4696,2056
4696,2088
4696,14218
4696,3646
4696,3776
4696,5298
4696,15820
4696,6418
4696,8118
4696,17464
4696,9735
4696,10037
4696,17761
4696,11139
4696,11916
4696,16060
4696,16069
6865,14814
8283,1842
8283,11916
8283,11130
8283,6418
8283,13067
8283,11139
8283,11940
8283,12964
8283,168
8283,589
8283,13651
8283,736
8283,13100
8283,1519
8283,3103
8283,4542
8283,7756
8283,8118
8283,17464
8317,5260
8317,16248
8317,941
8317,6902
8317,6723
8317,14116
8317,10772
8317,8919
8317,358
8317,15430
8317,168
8317,1785
8317,3244
8317,3907
8317,3971
8317,5859
8317,6182
8317,8474
8317,8814
8317,9256
8317,10924
8317,11486
8317,12055
9127,14814
12127,8540
12127,6424
12127,9177
12127,9885
12127,17714
12127,16343
372,12068
372,12780
372,15640
372,16795
372,13733
372,3294
372,4970
372,5270
372,9230
372,10160
372,12768
1050,10243
1050,12201
1050,1241
1050,15644
1050,10670
1050,5327
1050,2465
1050,359
1050,9168
1050,9733
1050,11762
13959,14896
13959,7691
13959,12229
13959,18385
13959,9733
13959,3581
13959,6246
13959,4762
13959,5181
13959,8639
13959,9168
13959,12762
14896,12068
14896,16791
14896,8327
14896,8331
14896,7272
14896,6940
14896,7491
14896,3957
14896,8006
14896,2205
14896,2989
14896,11192
14896,13386
14896,1204
14896,1564
14896,1716
14896,14013
14896,2134
14896,14483
14896,14469
14896,3805
14896,3856
14896,3921
14896,15017
14896,15190
14896,4831
14896,4847
14896,4713
14896,5181
14896,6128
14896,15966
14896,6529
14896,6578
14896,6918
14896,7147
14896,7158
14896,7270
14896,16545
14896,7691
14896,7752
14896,7898
14896,7608
14896,8325
14896,8639
14896,17493
14896,14521
14896,17857
14896,10571
14896,10733
14896,10893
14896,11993
14896,12210
3800,13517
3800,17413
3800,8302
3800,16970
3800,1012
3800,2301
3800,3544
3800,3809
3800,4516
16826,12068
16826,7691
16826,16986
16826,2155
16826,16685
16826,10461
16826,1853
16826,15906
16826,10100
16826,2453
16826,4067
16826,4373
16826,5259
16826,5386
16826,6888
16826,16729
16826,12359
16826,10390
16826,14216
16826,18579
16826,17451
16826,17686
16826,10525
9168,7691
9168,18385
9168,6246
9168,8639
9168,5181
12068,16296
12068,7626
12068,8849
12068,12743
12068,19011
12068,12780
12780,14739
12780,13510
12780,1225
12780,14711
12780,8450
12780,8849
12780,11604
12780,12526
18305,1129
18305,6478
18305,8475
3798,11571
3798,18063
3798,16171
483,6922
483,3106
483,10182
483,15973
483,5298
483,5507
483,5519
483,7974
483,17163
483,16904
483,9214
483,9346
483,10297
483,12973
989,16545
2540,18210
2540,17170
2540,11348
2540,2755
2540,8293
2540,11585
2540,8991
2540,10174
2540,11245
3669,8697
3669,3679
3669,1079
3669,6404
16447,11253
17163,4839
17163,9964
17163,17376
17163,14670
17163,13878
17163,16171
18210,4226
18210,13409
18210,13998
18210,7761
18210,4042
18210,11693
18210,10730
18210,1039
18210,1067
18210,13131
18210,2129
18210,14166
18210,2223
18210,2771
18210,14998
18210,15477
18210,5723
18210,7989
18210,8562
18210,8991
18210,9379
18210,9530
18210,10066
18210,10174
18210,11116
18210,11228
18210,11245
18210,11348
18210,11980
18210,17170
18210,17524
18210,18799
11348,2873
11348,11077
11348,8991
11348,17288
11348,11137
11348,18799
942,272
942,2959
942,17132
942,13235
942,289
942,7235
942,18196
942,4039
942,5280
942,8344
4367,13235
4367,1965
4367,4408
4367,8190
4367,16972
4367,7755
4367,6052
4367,455
4367,11119
4367,9981
4367,10060
4367,9368
4367,669
4367,11234
4367,7942
4367,587
4367,2482
4367,8220
4367,6400
4367,13280
4367,13360
4367,563
4367,1563
4367,14127
4367,3792
4367,4539
4367,8344
4367,9338
4367,9380
4367,12078
18196,2484
18196,16203
18196,15628
18196,17441
18196,15196
18196,14211
18196,14514
18196,3043
18196,4039
18196,15288
18196,4600
18196,9476
18196,7822
18196,9050
18196,9769
18196,10098
18196,18960
15630,14490
15630,16825
15630,13208
15630,2830
15630,14130
15630,16949
15630,18715
9064,2830
14814,10182
14814,14105
14814,8624
14814,9885
14814,9976
10182,2491
10182,6922
10182,16060
10182,7974
10182,1459
10182,14073
10182,2556
10182,3143
10182,15973
10182,10297
10182,11318
14105,1519
14105,16035
14105,3467
14105,16812
14105,8742
14105,15996
14105,1003
14105,1997
14105,19038
14105,1492
14105,15372
14105,11809
14105,15856
8624,17410
8624,9981
8624,11234
8624,3792
8624,14981
9885,17823
9885,16343
9885,16769
9885,11156
9885,13741
9885,15589
9885,14673
9885,13461
9885,14969
9885,16650
9885,14228
9885,16188
9976,4539
925,6397
925,7044
925,2197
925,6933
925,11234
925,3792
14514,3638
14514,9143
14514,18611
14514,255
14514,14849
14514,15044
14514,5870
14514,18960
3792,17085
3792,16972
3792,7755
3792,455
3792,9981
3792,9368
3792,669
3792,11234
3792,7942
3792,6400
3792,12078
3792,563
2463,9132
2463,11439
2463,2105
15044,11234
15044,9068
15044,4795
15044,8220
15044,8935
15044,18960
15044,9747
4795,18284
4795,7777
8220,9368
8220,11658
8220,8935
16296,2543
16296,15776
16296,13624
16296,7758
7626,8847
7626,10808
8849,7561
8849,8763
8849,15466
8849,15963
8849,12319
8849,13299
12743,11087
12743,4053
12743,16378
12743,15283
12743,16783
12743,7913
12743,7210
12743,17467
12743,7758
12743,4245
12743,11314
16680,684
16680,9552
16680,10568
684,2729
684,7817
684,13199
684,6820
684,14
684,14658
684,5198
684,13372
684,4776
684,2304
684,4382
684,13032
684,6829
684,7815
684,9038
684,10921
684,12421
684,6393
9552,11966
9552,6404
9552,15945
9552,5198
9552,17533
9552,10568
9552,10638
10568,7235
10568,6388
10568,2400
10568,16555
10568,10921
10568,9425
10568,885
10568,1847
10568,19093
10568,5897
10568,13242
10568,15270
10568,3866
10568,14460
10568,4242
10568,12937
2088,2491
2088,8657
2088,2963
2088,8739
2088,2856
2088,229
2088,15642
2088,18984
2088,17177
2088,931
2088,14073
2088,14218
2088,2972
2088,14630
2088,3776
2088,5298
2088,5374
2088,15820
2088,8473
2088,8776
2088,9735
2088,10037
2088,17761
2088,10109
2088,18009
2088,12784
2088,16069
13060,248
13060,1399
13060,14165
13060,2545
13060,14911
13060,4193
13060,4839
13060,15648
13060,5541
13060,5630
13060,6338
13060,6829
13060,16710
13060,7864
13060,9038
13060,10574
13060,11442
13060,11932
13060,13066
248,19096
248,6338
248,18320
248,17490
248,3198
248,5407
248,10410
248,13233
248,1399
248,4193
248,5329
248,5541
248,6829
248,8832
248,9038
248,17554
248,10574
248,15306
248,18446
1399,8363
1399,12084
1399,14165
1399,6338
1399,18320
1399,10230
1399,5541
1399,5329
1399,4193
1399,6590
1399,4027
1399,3884
1399,14997
1399,4776
1399,5820
1399,6829
1399,16404
1399,16849
1399,9038
1399,10574
1399,11442
1399,15306
14165,15188
14165,2474
14165,1385
14165,1371
14165,14564
14165,8157
14165,11914
14165,6121
14165,7909
14165,2229
14165,14190
14165,14206
14165,14553
14165,14907
14165,4193
14165,15302
14165,5139
14165,5329
14165,5541
14165,6527
14165,16460
14165,16783
14165,7913
14165,8212
14165,17200
14165,9038
14165,10209
14165,10574
14165,18281
14165,18306
14165,18320
2545,332
2545,2410
2545,14911
2545,4839
2545,5630
2545,9418
2545,11101
2545,11932
2545,13066
14911,4839
14911,4205
14911,3620
14911,5419
14911,1377
14911,11379
14911,5777
14911,12759
14911,6248
14911,5370
14911,1842
14911,6407
