ID,vs score,Vendor (Y/N)
12367,7.15,Y
10229,6.03,Y
3712,5.73,Y
4268,5.66,Y
14174,5.35,Y
3560,5.31,Y
15792,5.27,N
3709,5.25,Y
13841,5.21,Y
12904,5.2,Y
2878,5.17,N
13265,5.12,y
4258,5.06,N
9388,5.04,N
5896,4.91,Y
4851,4.91,N
4831,4.83,Y
9481,4.82,N
11787,4.78,Y
1705,4.73,N
16963,4.72,N
12114,4.61,Y
4662,4.58,N
1662,4.55,N
5914,4.5,N
11697,4.49,Y
15455,4.48,N
18594,4.41,Y
18393,4.39,N
18395,4.39,N
18140,4.38,N
17613,4.36,N
3173,4.36,N
8478,4.34,N
3719,4.34,N
9825,4.34,N
16276,4.33,N
13876,4.33,Y
18881,4.33,N
1660,4.32,N
16158,4.32,N
14440,4.31,N
16579,4.3,N
17340,4.29,N
14085,4.25,Y
8980,4.23,N
5290,4.22,N
6811,4.19,N
11953,4.19,N
13968,4.17,N
5014,4.17,Y
12954,4.16,Y
6534,4.16,N
15094,4.13,N
15363,4.12,N
15873,4.12,N
13522,4.11,N
5069,4.11,Y
13015,4.09,N
11186,4.09,N
12543,4.09,Y
11119,4.09,N
5481,4.08,N
4451,4.06,N
12607,4.04,N
16979,4.03,N
8944,4.03,N
12893,4.01,N
9316,4.01,N
12516,4.01,N
12585,3.99,N
12347,3.97,N
6438,3.95,N
12522,3.92,N
18650,3.91,N
11982,3.89,N
14596,3.89,N
18443,3.89,N
12145,3.87,N
8120,3.87,N
17998,3.87,N
17431,3.87,N
17197,3.85,N
12393,3.83,N
16879,3.83,N
11756,3.81,N
16677,3.81,N
5120,3.8,N
15799,3.78,Y
9611,3.78,N
17018,3.78,N
12296,3.76,N
14666,3.76,N
11688,3.76,N
15095,3.75,N
12161,3.74,N
5983,3.74,N
9331,3.74,N
14372,3.74,N
9311,3.71,N
9659,3.71,N
13553,3.7,N
12539,3.7,N
13992,3.69,N
14647,3.69,N
12084,3.69,N
4722,3.68,N
11620,3.67,N
2510,3.66,N
13958,3.66,N
8625,3.66,N
9077,3.66,N
3926,3.66,N
8123,3.65,N
6173,3.64,N
4989,3.64,N
8937,3.64,N
12722,3.64,N
10665,3.62,Y
12529,3.61,N
8000,3.61,N
4149,3.61,N
9260,3.61,N
5308,3.61,N
14031,3.59,N
11408,3.58,N
7477,3.58,N
15576,3.58,N
6119,3.58,N
9512,3.58,N
5596,3.56,N
9479,3.55,N
17512,3.53,N
11183,3.53,N
7330,3.53,N
3629,3.53,N
14350,3.53,N
13949,3.53,N
